product_name,category,price,mrp,rating,review_count
Ramsons - MIDNIGHT Eau De Parfum Perfume For Men Long Lasting Premium Perfume 40ml (Pack of 1),perfume,165,189,4.1,226
Ramsons - U R LOVELY Eau De Parfum Perfume For Women Long Lasting Premium Perfume 30ml (Pack of 1),perfume,165,189,4.3,323
Amidhara Eau De Parfum (EDP) Earthly -Fragrance For Unisex ( Pack of 1 ),perfume,223,1499,4.2,258
The Man Company Eau De Toilette (EDT) Oriental -Fragrance For Men ( Pack of 1 ),perfume,264,2499,4.3,107
"wokleen Eau De Parfum (EDP) Woody,Fruity,Fresh Mild -Fragrance For Men,Women,Unisex ( Pack of 1 )",perfume,238,999,4.2,65
The Man Company Deodorant Spray & Perfume Floral -Fragrance For Men ( Pack of 1 ),perfume,202,749,4.3,83
"St. John Eau De Parfum (EDP) Fresh,Woody Mild -Fragrance For Men 10 ML Each ( Pack of 2 )",perfume,127,130,4.1,1981
Brit Accent Eau De Parfum (EDP) Fresh -Fragrance For Unisex ( Pack of 2 ),perfume,165,798,4.4,17
OG BEAUTY Luxury Charade Eau De Parfum - Premium Fragrance & Long-Lasting Scent - 50 ml For Women,perfume,141,299,4.9,10
OSSA Magnet Apparel Perfume Unisex With Oriental Notes Premium Long Lasting Fragrance Eau de Parfum - 100 ml (For Men & Women),perfume,238,380,4.4,239
"Riya Bindas Black Perfume, For Men, 30 ml (Pack Of 1)",perfume,129,185,4.3,60
"Brit Accent Eau De Toilette (EDT) Fresh,Woody,Smoky Mild -Fragrance For Unisex ( Pack of 2 )",perfume,199,798,4.1,857
The Man Company Eau De Toilette (EDT) Fresh -Fragrance For Men ( Pack of 1 ),perfume,274,2198,3.9,33
JD INTERNATIONAL BULGERIAN ROSE Apparel Perfume For Men & Women Perfume 100 ml (Pack of 1),perfume,170,350,4.1,272
"Brit Accent Eau De Parfum (EDP) Woody,Fresh Strong -Fragrance For Unisex ( Pack of 2 ) 30 ML + 25ML",perfume,180,798,4.0,740
DENVER Chief Perfume Premium & Long Lasting Eau de Parfum - For Men 30 ml (Pack of 1),perfume,239,249,4.1,165
Brit Accent Eau De Toilette (EDT) Woody -Fragrance For Unisex ( Pack of 2 ),perfume,193,798,3.9,51
"Sebora Eau De Parfum (EDP) Fresh,Floral Medium -Fragrance For Men,Women,Unisex ( Pack of 1 )",perfume,199,999,4.1,1306
"Brit Accent Eau De Toilette (EDT) Woody,Fruity,Fresh,Smoky Strong -Fragrance For Men ( Pack of 5 ) 8ml Each",perfume,190,349,4.2,519
"Brit Accent Eau De Toilette (EDT) Woody,Fruity,Oriental,Smoky Strong -Fragrance For Women ( Pack of 5 )",perfume,185,349,4.1,68
Ramsons - MIDNIGHT Eau De Parfum Perfume For Men Long Lasting Premium Perfume 40ml (Pack of 1),perfume,165,189,4.1,226
Ramsons - U R LOVELY Eau De Parfum Perfume For Women Long Lasting Premium Perfume 30ml (Pack of 1),perfume,165,189,4.3,323
Amidhara Eau De Parfum (EDP) Earthly -Fragrance For Unisex ( Pack of 1 ),perfume,223,1499,4.2,258
The Man Company Eau De Toilette (EDT) Oriental -Fragrance For Men ( Pack of 1 ),perfume,264,2499,4.3,107
"wokleen Eau De Parfum (EDP) Woody,Fruity,Fresh Mild -Fragrance For Men,Women,Unisex ( Pack of 1 )",perfume,238,999,4.2,65
The Man Company Deodorant Spray & Perfume Floral -Fragrance For Men ( Pack of 1 ),perfume,202,749,4.3,83
"St. John Eau De Parfum (EDP) Fresh,Woody Mild -Fragrance For Men 10 ML Each ( Pack of 2 )",perfume,127,130,4.1,1981
Brit Accent Eau De Parfum (EDP) Fresh -Fragrance For Unisex ( Pack of 2 ),perfume,165,798,4.4,17
OG BEAUTY Luxury Charade Eau De Parfum - Premium Fragrance & Long-Lasting Scent - 50 ml For Women,perfume,141,299,4.9,10
OSSA Magnet Apparel Perfume Unisex With Oriental Notes Premium Long Lasting Fragrance Eau de Parfum - 100 ml (For Men & Women),perfume,238,380,4.4,239
"Riya Bindas Black Perfume, For Men, 30 ml (Pack Of 1)",perfume,129,185,4.3,60
"Brit Accent Eau De Toilette (EDT) Fresh,Woody,Smoky Mild -Fragrance For Unisex ( Pack of 2 )",perfume,199,798,4.1,857
The Man Company Eau De Toilette (EDT) Fresh -Fragrance For Men ( Pack of 1 ),perfume,274,2198,3.9,33
JD INTERNATIONAL BULGERIAN ROSE Apparel Perfume For Men & Women Perfume 100 ml (Pack of 1),perfume,170,350,4.1,272
"Brit Accent Eau De Parfum (EDP) Woody,Fresh Strong -Fragrance For Unisex ( Pack of 2 ) 30 ML + 25ML",perfume,180,798,4.0,740
DENVER Chief Perfume Premium & Long Lasting Eau de Parfum - For Men 30 ml (Pack of 1),perfume,239,249,4.1,165
Brit Accent Eau De Toilette (EDT) Woody -Fragrance For Unisex ( Pack of 2 ),perfume,193,798,3.9,51
Campus HURRICANE White Men's Sports Running Shoes,men_shoes,807,1699,4.4,7794
hotstyle Gray Men's Sports Running Shoes,men_shoes,512,2249,4.0,630
Action White Men's Sports Running Shoes,men_shoes,1170,3199,4.5,195
Clymb SOCKS-7 T BLUE Blue Men's Sports Running Shoes,men_shoes,429,999,3.7,3
Campus OSLO PRO Gray Men's Sports Running Shoes,men_shoes,994,1499,4.2,583
Clymb Sports Olive Men's Sports Running Shoes,men_shoes,503,999,4.1,142
ASIAN AIRWEAVE-02 Dark Grey Men's Sports Running Shoes,men_shoes,1011,2849,4.2,502
Clymb Gray Men's Sports Running Shoes,men_shoes,434,999,3.5,34
Campus NORTH PLUS Black Men's Sports Running Shoes,men_shoes,909,1899,4.2,1355
Clymb Gray Men's Sports Running Shoes,men_shoes,632,2100,4.1,495
Bersache Blue Men's Sports Running Shoes,men_shoes,994,4999,4.1,225
Campus - FLASH NEW Blue Men's Sports Running Shoes,men_shoes,785,2299,4.3,48
ASIAN DOMINATOR-03 Navy Men's Sports Running Shoes,men_shoes,805,2499,4.2,1015
Airhype Black Men's Sports Running Shoes,men_shoes,647,999,4.0,6
Campus ABACUS Blue Men's Sports Running Shoes,men_shoes,973,2299,4.3,1992
Clymb Cosco White Men's Sports Running Shoes,men_shoes,691,2499,4.3,10
Campus ABACUS Blue Running Shoes,men_shoes,973,2299,4.1,712
ASIAN Blue Men's Sports Running Shoes,men_shoes,589,999,4.0,7124
Cult Quasar Blue Men's Sports Running Shoes,men_shoes,1835,4069,4.6,43
ASIAN CIVIC-04 Black Men's Sports Running Shoes,men_shoes,692,1999,4.0,22
Campus HURRICANE White Men's Sports Running Shoes,men_shoes,807,1699,4.4,7794
hotstyle Gray Men's Sports Running Shoes,men_shoes,512,2249,4.0,630
Action White Men's Sports Running Shoes,men_shoes,1170,3199,4.5,195
Clymb SOCKS-7 T BLUE Blue Men's Sports Running Shoes,men_shoes,429,999,3.7,3
Campus OSLO PRO Gray Men's Sports Running Shoes,men_shoes,994,1499,4.2,583
Clymb Sports Olive Men's Sports Running Shoes,men_shoes,503,999,4.1,142
ASIAN AIRWEAVE-02 Dark Grey Men's Sports Running Shoes,men_shoes,1011,2849,4.2,502
Clymb Gray Men's Sports Running Shoes,men_shoes,434,999,3.5,34
Campus NORTH PLUS Black Men's Sports Running Shoes,men_shoes,909,1899,4.2,1355
Clymb Gray Men's Sports Running Shoes,men_shoes,632,2100,4.1,495
Bersache Blue Men's Sports Running Shoes,men_shoes,994,4999,4.1,225
Campus - FLASH NEW Blue Men's Sports Running Shoes,men_shoes,785,2299,4.3,48
ASIAN DOMINATOR-03 Navy Men's Sports Running Shoes,men_shoes,805,2499,4.2,1015
Airhype Black Men's Sports Running Shoes,men_shoes,647,999,4.0,6
Campus ABACUS Blue Men's Sports Running Shoes,men_shoes,973,2299,4.3,1992
Clymb Cosco White Men's Sports Running Shoes,men_shoes,691,2499,4.3,10
Campus ABACUS Blue Running Shoes,men_shoes,973,2299,4.1,712
ASIAN Blue Men's Sports Running Shoes,men_shoes,589,999,4.0,7124
Cult Quasar Blue Men's Sports Running Shoes,men_shoes,1835,4069,4.6,43
ASIAN CIVIC-04 Black Men's Sports Running Shoes,men_shoes,692,1999,4.0,22
