product_name,category,price,mrp,rating,review_count,product_url,seller_name,seller_rating
Amidhara Eau De Parfum (EDP) Earthly -Fragrance For Unisex ( Pack of 1 ),perfume,223,1499,4.2,258,https://www.snapdeal.com/product/amidhara-eau-de-parfum-edp/678908080368#bcrumbSearch:perfume,,
The Man Company Eau De Toilette (EDT) Oriental -Fragrance For Men ( Pack of 1 ),perfume,264,2499,4.3,108,https://www.snapdeal.com/product/the-man-company-eau-de/680065429951#bcrumbSearch:perfume,HELIOS LIFESTYLE PVT LTD,5.0
"wokleen Eau De Parfum (EDP) Woody,Fruity,Fresh Mild -Fragrance For Men,Women,Unisex ( Pack of 1 )",perfume,238,999,4.2,65,https://www.snapdeal.com/product/wokleen-eau-de-parfum-edp/686392903699#bcrumbSearch:perfume,,
The Man Company Deodorant Spray & Perfume Floral -Fragrance For Men ( Pack of 1 ),perfume,202,749,4.3,83,https://www.snapdeal.com/product/the-man-company-deodorant-spray/628470584611#bcrumbSearch:perfume,HELIOS LIFESTYLE PVT LTD,5.0
"Brit Accent Eau De Parfum (EDP) Woody,Fresh Strong -Fragrance For Unisex ( Pack of 2 ) 30 ML + 25ML",perfume,180,798,4.0,740,https://www.snapdeal.com/product/brit-accent-eau-de-parfum/639817223468#bcrumbSearch:perfume,,
St. John One men Army Long lasting Perfume For Men-100ml Eau De Parfum (EDP) For Men 100ML ( Pack of 1 ),perfume,195,799,3.9,2145,https://www.snapdeal.com/product/st-john-one-men-army/659679519339#bcrumbSearch:perfume,VI-JOHN HEALTHCARE INDIA LLP,4.0
JD INTERNATIONAL BULGERIAN ROSE Apparel Perfume For Men & Women Perfume 100 ml (Pack of 1),perfume,170,350,4.1,272,https://www.snapdeal.com/product/jetharam-dawarji-international-bulgerian-rose/655540633372#bcrumbSearch:perfume,,
Brit Accent Eau De Parfum (EDP) Fresh -Fragrance For Unisex ( Pack of 2 ),perfume,165,798,4.4,17,https://www.snapdeal.com/product/brit-accent-eau-de-parfum/661506063420#bcrumbSearch:perfume,SANGRILA LIFESTYLE PRIVATE LIMITED,4.1
"Riya Bindas Black Perfume, For Men, 30 ml (Pack Of 1)",perfume,129,185,4.3,60,https://www.snapdeal.com/product/riya-eau-de-parfum-edp/627220187348#bcrumbSearch:perfume,,
Brit Accent Eau De Toilette (EDT) Woody -Fragrance For Unisex ( Pack of 2 ),perfume,193,798,3.9,51,https://www.snapdeal.com/product/brit-accent-eau-de-toilette/644076346456#bcrumbSearch:perfume,SANGRILA LIFESTYLE PRIVATE LIMITED,4.1
OG BEAUTY Luxury Charade Eau De Parfum - Premium Fragrance & Long-Lasting Scent - 50 ml For Women,perfume,141,299,4.9,10,https://www.snapdeal.com/product/og-beauty-luxury-eau-de/632973977513#bcrumbSearch:perfume,,
The Man Company Eau De Toilette (EDT) Fresh -Fragrance For Men ( Pack of 1 ),perfume,274,2198,3.9,33,https://www.snapdeal.com/product/the-man-company-eau-de/667970593814#bcrumbSearch:perfume,HELIOS LIFESTYLE PVT LTD,5.0
"BRIT ACCENT Men's Luxury Parfum Gift Set|4 x 20ml EDP|Believe, Conquer, Dominate, Explorer | Eau de Parfum - 80 ml",perfume,265,796,4.1,273,https://www.snapdeal.com/product/brit-accent-eau-de-parfum/642866647819#bcrumbSearch:perfume,,
"OG BEAUTY Luxury Pristine Eau De Parfum - Premium Fragrance & Long-Lasting Scent - 50 ml , For Men",perfume,150,299,4.8,11,https://www.snapdeal.com/product/og-beauty-luxury-eau-de/680611684678#bcrumbSearch:perfume,OG BEAUTY PRIVATE LIMITED,4.1
OSSA Magnet Apparel Perfume Unisex With Oriental Notes Premium Long Lasting Fragrance Eau de Parfum - 100 ml (For Men & Women),perfume,238,380,4.4,239,https://www.snapdeal.com/product/ossa-eau-de-parfum-edp/664753265288#bcrumbSearch:perfume,,
Campus HURRICANE White Men's Sports Running Shoes,men_shoes,807,1699,4.4,7795,https://www.snapdeal.com/product/campus-navy-mens-sports-running/5764608200676964672#bcrumbSearch:men%20shoes,Campus Activewear Limited,4.2
OZJI Blue Men's Sports Running Shoes,men_shoes,546,2299,4.2,31,https://www.snapdeal.com/product/ozji-blue-mens-sports-running/627569187125#bcrumbSearch:men%20shoes,,
VL Shoes Rawar White Men's Sports Running Shoes,men_shoes,679,999,4.9,8,https://www.snapdeal.com/product/vl-shoes-rawar-white-mens/655816478204#bcrumbSearch:men%20shoes,V.L. SHOES SUPPLIERS,
hotstyle Gray Men's Sports Running Shoes,men_shoes,512,2249,4.0,631,https://www.snapdeal.com/product/hotstyle-gray-mens-sports-running/623981372905#bcrumbSearch:men%20shoes,,
Campus OSLO PRO Gray Men's Sports Running Shoes,men_shoes,994,1499,4.2,584,https://www.snapdeal.com/product/campus-oslo-pro-gray-running/658074830310#bcrumbSearch:men%20shoes,Campus Activewear Limited,4.2
Clymb Blue Men's Sports Running Shoes,men_shoes,509,1999,4.2,261,https://www.snapdeal.com/product/clymb-blue-mens-sports-running/648650016939#bcrumbSearch:men%20shoes,,
Action White Men's Sports Running Shoes,men_shoes,1170,3199,4.5,196,https://www.snapdeal.com/product/action-white-mens-sports-running/649439992773#bcrumbSearch:men%20shoes,MICRO INDUSTRIAL CORPORATION,4.0
Campus XAVEN Black Men's Sports Running Shoes,men_shoes,704,1999,4.5,33,https://www.snapdeal.com/product/campus-xaven-black-mens-sports/5764608201990330029#bcrumbSearch:men%20shoes,,
ASIAN DOMINATOR-03 White Men's Sports Running Shoes,men_shoes,805,2499,4.2,1016,https://www.snapdeal.com/product/asian-dominator03-white-mens-sports/5764608164689459547#bcrumbSearch:men%20shoes,Asian Footwears Pvt. Ltd,4.1
Campus HELIX PRO Black Men's Sports Running Shoes,men_shoes,773,1699,4.6,17,https://www.snapdeal.com/product/campus-helix-pro-black-mens/8070451203287111738#bcrumbSearch:men%20shoes,,
ASIAN NAVIGATOR-01 Off White Men's Sports Running Shoes,men_shoes,823,2399,4.3,98,https://www.snapdeal.com/product/asian-navigator01-off-white-mens/5764608199018255476#bcrumbSearch:men%20shoes,Asian Footwears Pvt. Ltd,4.1
Clymb Gray Men's Sports Running Shoes,men_shoes,632,2100,4.1,495,https://www.snapdeal.com/product/clymb-gray-mens-sports-running/679436758476#bcrumbSearch:men%20shoes,,
Campus NORTH PLUS Black Men's Sports Running Shoes,men_shoes,909,1899,4.2,1355,https://www.snapdeal.com/product/campus-north-plus-black-running/673098707184#bcrumbSearch:men%20shoes,Campus Activewear Limited,4.2
ASIAN POWERPLAY-05 Dark Grey Men's Sports Running Shoes,men_shoes,783,2499,4.2,294,https://www.snapdeal.com/product/asian-powerplay05-black-mens-sports/8070451196140442212#bcrumbSearch:men%20shoes,,
Campus ABACUS Blue Men's Sports Running Shoes,men_shoes,973,2299,4.3,1992,https://www.snapdeal.com/product/campus-abacus-blue-running-shoes/675359002411#bcrumbSearch:men%20shoes,Campus Activewear Limited,4.2
ASIAN RAFTAAR-13 Light Grey Men's Sports Running Shoes,men_shoes,657,2249,4.2,92,https://www.snapdeal.com/product/asian-raftaar13-light-grey-mens/5764608209019678818#bcrumbSearch:men%20shoes,,
Campus NORTH PLUS Black Men's Sports Running Shoes,men_shoes,909,1899,4.2,1910,https://www.snapdeal.com/product/campus-north-plus-black-running/5764608167349667899#bcrumbSearch:men%20shoes,Campus Activewear Limited,4.2
Clymb Sports Black Men's Sports Running Shoes,men_shoes,411,1499,4.4,28,https://www.snapdeal.com/product/clymb-sports-black-mens-sports/635496149700#bcrumbSearch:men%20shoes,,
Liberty ROBIN-2E White Men's Sports Running Shoes,men_shoes,989,2699,3.7,11,https://www.snapdeal.com/product/liberty-robin2e-white-mens-sports/681004313067#bcrumbSearch:men%20shoes,Liberty Shoes Limited,4.0
Campus - Black Men's Sports Running Shoes,men_shoes,604,1399,4.3,10,https://www.snapdeal.com/product/campus-black-mens-sports-running/672834496979#bcrumbSearch:men%20shoes,,
